Code	Scientific	Common	Reverse
7400	'Otus flammeolus'	'flammulated owl'	'Otus flammeolus'
7410	'Otus asio'	'eastern screech owl'	'Otus asio'
7420	'Otus trichopsis'	'whiskered screech owl'	'Otus trichopsis'
7430	'Bubo virginianus'	'Great horned owl'	'Bubo virginianus'
7440	'Bubo bubo'	'Eagle owl'	'Bubo bubo'
7450	'Bubo africanus'	'Spotted Eagle-Owl'	'Bubo africanus'
7460	'Ketupa blakistoni'	'Blakiston\'s fish owl'	'Ketupa blakistoni'
7470	'Ketupa zeylonensis'	'Brown Fish-Owl'	'Ketupa zeylonensis'
7480	'Ketupa flavipes'	'Tawny Fish Owl'	'Ketupa flavipes'
7490	'Nyctea scandiaca'	'snowy owl'	'Nyctea scandiaca'
7500	'Surnia ulula'	'Northern hawk owl'	'Surnia ulula'
7510	'Glaucidium passerinum'	'Eurasian pygmy owl'	'Glaucidium passerinum'
7520	'Glaucidium gnoma'	'Mountain Pygmy Owl'	'Glaucidium gnoma'
7530	'Glaucidium brasilianum'	'Ferruginous Pygmy-Owl'	'Glaucidium brasilianum'
7540	'Glaucidium brodiei'	'Collared Owlet'	'Glaucidium brodiei'
7550	'Micrathene whitneyi'	'Elf Owl'	'Micrathene whitneyi'
7560	'Ninox scutulata'	'Brown Hawk-Owl'	'Ninox scutulata'
7570	'Athene noctua'	'Little owl'	'Athene noctua'
7580	'Athene brama'	'Spotted owlet'	'Athene brama'
